area,scenario,tema,misura,motivazione
NTS,Slow Pace,Trasporto marittimo,"un incremento del traffico da oggi al 2040 così
definito, in termini di densità di traffico, ovvero di rotte che attraversano ciascuna cella nell’unità di tempo, per diverse tipologie di imbarcazioni: +30% per navi cargo e
portarinfuse (CAR); +53% per navi portacontainer (CON); +26% per navi passeggeri e da crociera (PAS); +38% per navi petroliere e gasiere (TGC); +33% per navi roll-onroll-
off cargo e passeggeri (RRO).","Questi valori sono derivati dal recente studio condotto da EMSA per valutare l’evoluzione attesa del rumore sottomarino nei mari europei, con e senza misure di mitigazione (EMSA, 2024), e sono in linea con altre
indicazioni derivabili dalla letteratura di settore : proiezioni del trasporto marittimo
globale al 2050 (EMSA-EEA, 2021); aumento annuo atteso delle movimentazioni di
container del 3.1% nel Mediterraneo occidentale (Piano del Mare (2023)) e del 2.7%
relativamente al periodo 2021-2026 (Report SRM 2022)."
NTS,Slow Pace,Trasporto marittimo,"Sono attese riduzioni delle emissioni di gas serra (GHG) e di composti di zolfo, in linea con gli obiettivi e le prescrizioni di EU Green Deal (riduzione del 90% delle emissioni di GHG al 2050) e IMO-MED-SECA, attraverso la progressiva adozione di misure di mitigazione (ad esempio, elettrificazione delle banchine, nuovi carburanti).",
NTS,Slow Pace,Trasporto marittimo,"Il settore aumenterà progressivamente la sua sostenibilità a terra e in mare, in varie
forme: ad esempio, con l’adozione di carburanti in compliance con la 0,1% Sulphur
Target del SEPA Agreement (IMO MED-SECA) o con l’elettrificazione delle banchine
utilizzando fonti rinnovabili. Le raccomandazioni relative alla PSSA NW-MED (IMO MEPC 80/WP.10) rimarranno come ora, pur traguardando un rafforzamento
progressivo delle misure in atto (e.g. limitazione della velocità volontaria tra 10 e 13
nodi).",
NTS,Slow Pace,Protezione Ambientale,"Vengono istituite alcune nuove aree Natura 2000: due nuovi siti (già proposti) su tre
seamounts (Complesso dei monti sottomarini Ulisse Doria Janua e del Banco di Santa Lucia) (Wurtz e Rovere, 2015).",
NTS,Slow Pace,Protezione Ambientale,"Non viene istituita nessuna nuova AMP o area con “protezione rigorosa” (i.e. strictly
protected).",
NTS,Slow Pace,Pesca,"il limite di pesca a strascico viene esteso da 1000 metri a 800 metri di profondità, in
quanto queste aree possono ospitare ecosistemi marini vulnerabili (VME),
sostenendo al contempo attività di pesca relativamente limitate da parte di alcuni
pescherecci che si dedicano a stock specifici, ad esempio gamberi rossi di acque
profonde (GFCM REC 29/2005/1).",A seguito del completamento delle valutazioni sulle aree pilota identificate da GFCM.
NTS,Slow Pace,Pesca,si vieta la pesca a strascico con attrezzi attivi nelle aree SIC/ZSC designate ai sensi della direttiva Habitat per la protezione di habitat e le specie marine bentoniche.,"Come da Action Plan (COM(2023)102 final),"
NTS,Slow Pace,Difesa Costiera,"Gli interventi di difesa costiera e contrasto all’erosione nei tratti di costa con trend
erosivi maggiori (2006-2020, ISPRA) vengono realizzati localmente, con una limitata programmazione di lungo periodo. Si utilizzanno tecniche di difesa tradizionali basate su interventi rigidi e ripascimenti, utilizzando le cave di sabbie a mare già censite.",
NTS,Slow Pace,Turismo Costiero e Marittimo,"Le opportunità per una transizione sostenibile del turismo costiero e marittimo non
vengono pienamente sfruttate e i modelli turistici implementati rimangono
prevalentemente quelli di tipo tradizionale, pur lavorando anche su importanti aspetti
di sostenibilità come il risparmio energetico e delle risorse in genere, la gestione dei
rifiuti, la gestione e destagionalizzazione dei flussi.",
NTS,Slow Pace,Turismo Costiero e Marittimo,"Viene promossa la diversificazione dell’offerta su settori di turismo
esperienziale quali il diving, canoa e il whale watching.",
NTS,Slow Pace,Energia,"portata a termine l’iniziativa in atto attraverso
Commissario straordinario di Governo della Regione per il ricollocamento offshore a
largo di Vado Ligure del rigassificatore terminal FSRU Tundra attualmente in esercizio
presso il Porto di Piombino (SNAM, 2023).",
NTS,Nature@Work,Trasporto marittimo,"La Voluntary Speed Reduction (VSR) a 13 nodi (IMO-MEPC 80/WP.10, 2023) in tutta
l'area della PSSA è attuata da tutte le navi commerciali in tutte le aree con densità elevata di cetacei.",
NTS,Nature@Work,Trasporto marittimo,"viene istituita una ATBA al largo di Ventimiglia e Sanremo e
una limitazione obbligatoria della velocità a 10 nodi in corrispondenza di una nuova
AMP sul complesso dei monti sottomarini Ulisse, Doria, Janua e del canyon di Genova.",
NTS,Nature@Work,Protezione Ambientale,"I corridoi di
navigazione sono progettati e gestiti in modo coerente con i requisiti dei mammiferi
marini e delle tartarughe, tutti i siti Natura 2000 hanno piani di gestione approvati e
attuati. L’integrazione tra i siti Natura 2000 e le attività marittime, compreso il turismo
lento, la pesca artigianale e l’acquacoltura sostenibile, sta funzionando, sebbene si
evitino interazioni nelle aree centrali della rete.",
NTS,Nature@Work,Protezione Ambientale,"Viene istituita una nuova AMP che comprende il Complesso dei monti sottomarini Ulisse Doria Janua (Wurtz e Rovere, 2015) nonché la convergenza del canyon di Genova, per la
protezione di specie bentoniche e come zona di importanza per grampo, zifio,
capodoglio e balenottera.",
NTS,Nature@Work,Protezione Ambientale,"In questa AMP, interna alla PSSA-NW MED, è prevista una
riduzione obbligatoria della velocità dei natanti commerciali a 10 nodi (Gallou et al.,
2021). ",
NTS,Nature@Work,Protezione Ambientale,Il Banco di Santa Lucia diventa una AMP a protezione rigorosa (strictly protected).,
NTS,Nature@Work,Protezione Ambientale,"Vengono istituite inoltre due nuove AMP in corrispondenza dei canyon di Bordighera e
Sanremo.",
NTS,Nature@Work,Protezione Ambientale,"Viene attuata la proposta di estensione della perimetrazione a mare del Parco
dell’Arcipelago Toscano (PNAT, 2020) nelle acque e fondali circostanti l’isola di Capraia, con focus sulla protezione della foca monaca. L’area si collega ad una nuova
AMP strictly protected per la protezione degli habitat profondi e nello specifico di Vulnerable Marine Ecosystems (VME) nella ""Corsica Channel Cold Water Coral Province"". Vengono considerati per la protezione rigorosa due siti già individuati dal
CNR specificamente per la protezione di coralli di acque profonde Angeletti et al.
2020): uno di questi ricade nel già menzionato ampliamento dell’area protetta di Caprera, mentre per l’altro sito, a nord di Capraia, viene creata un’area a protezione
rigorosa ad hoc.",
NTS,Nature@Work,Protezione Ambientale,"In Liguria vengono ampliate le AMP esistenti delle Cinque Terre, Portofino e Isola di Bergeggi, con focus sulla conservazione del coralligeno, della posidonia e della Cymodocea.",
NTS,Nature@Work,Protezione Ambientale,"In Toscana viene ampliata la AMP Secche della Meloria, con la corrispondente
istituzione di tavoli di co-gestione con pescatori che praticano la piccola pesca con
metodi tradizionali.",
NTS,Nature@Work,Protezione Ambientale,"Viene creata una nuova ZPS tra l’Isola di Capraia e Pianosa, con focus di conservazione sulla berta minore e maggiore.",
NTS,Nature@Work,Protezione Ambientale,"All'interno della PSSA NW-MED le misure volontarie di riduzione della velocità del
traffico commerciale fra 10 e 13 nodi restano vigenti e viene in aggiunta istituita una
Area To Be Avoided (ATBA) al largo di Ventimiglia e Sanremo a protezione di capodogli
e balenottere (Thetys, 2020).",
NTS,Nature@Work, Difesa Costiera,"Gli
interventi attuati sono prevalentemente di tipo soft e le Nature Based Solution (NBS)
hanno la priorità. Le sabbie offshore compatibili provenienti dalle cave a mare censite
vengono utilizzate per ripascimenti e opere di difesa costiera",
NTS,Nature@Work,Turismo Costiero e Marittimo,"Viene promossa la diversificazione dell’offerta su
settori di turismo esperienziale quali l’ecoturismo, anche in relazione all’ampliamento
della rete di aree protette, il pescaturismo, il diving e il whale watching",
NTS,Nature@Work,Turismo Costiero e Marittimo,"Specifiche misure di regolamentazione riguardano il diporto (e.g. aree di ormeggio e
gestione dei marina), in particolare nelle AMP e nelle aree Natura 2000. Sarà
importante andare a identificare per alcune aree limiti non solo di velocità ma anche in termini di capacità portante legati sia allo stazionamento che al transito, soprattutto su aree di pregio come AMP e Natura 2000.",
NTS,Nature@Work,Turismo Costiero e Marittimo,"Si identificano le AMP soggette a maggior pressione da parte del diporto nautico, e vengono previste delle misure di contenimento dell’ancoraggio sui fondali con biocenosi vulnerabili, installando nuovi
siti di ormeggio in prossimità delle AMP più congestionate e soggette a sovraffollamento (Venturini et al., 2016; Dapueto et al., 2022).",
NTS,Nature@Work,Pesca,"L’identificazione di nuove aree per il recupero degli stock ittici procede rapidamente,
sostenuta da sforzi coordinati a scala di bacino. La promozione di accordi e tavoli di
cogestione tra la pesca artigianale, i siti Natura 2000 e le AMP diventa una pratica
comune nella zona, ed è regolata dai piani di gestione delle aree di conservazione.",
NTS,Nature@Work,Pesca,"In
seguito al completamento delle valutazioni sulle aree pilota identificate da GFCM, il
limite di pesca a strascico viene esteso da 1000 metri a 800 metri di profondità, in
quanto habitat potenziali di ecosistemi marini vulnerabili, sostenendo al contempo
attività di pesca relativamente limitate da parte di alcuni pescherecci che si dedicano
a stock specifici, ad esempio gamberi rossi di acque profonde (GFCM REC
29/2005/1).",
NTS,Nature@Work,Pesca,"Viene ampliata la ZTB esistente in prossimità dell’Isola del Giglio e la ZTB al largo di Livorno, nei pressi del pre-esistente divieto di pesca nell’area di rispetto del rigassificatore ‘Toscana’, non più esistente in questo scenario.",
NTS,Nature@Work,Ricerca & Innovazione,"sono individuati, in modo non esaustivo, i principali siti osservativi e
centri di ricerca attualmente presenti. Vengono anche individuati i siti, interni ad AMP,
ove sono in corso sperimentazioni di attività di restauro: Cinque Terre (zona A,B,C),
Portofino (Zona C), e Bergeggi per Posidonia oceanica, Cystoseira e Patella ferruginea
(in area da definire in zona C); Isola di Gallinara per il coralligeno (Punta Sciusciau).",
NTS,Nature@Work,Energia Rinnovabile,"Viene promossa la produzione di energia rinnovabile da moto ondoso
installando generatori in corrispondenza delle dighe foranee e/o moli con potenziale
produzione di energia e con funzione prevalente di alimentazione delle attività portuali
(produzione di energia dell’ordine di qualche MW).
Sperimentazioni in questo senso sono state effettuate o sono in corso presso i porti di
La Spezia, Piombino e Marina di Cecina (Peviani et al., 2011; Liberti et al., 2013).",
NTS,Nature@Work,Energia Rinnovabile,"In questo scenario non sono più presenti nell’area navi rigassificatrici, trattandosi di una tecnologia non coerente con la politica di transizione energetica dell’UE (Reg. (UE) 2021/1119).",
NTS,Nature@Work,Paesaggio e patrimonio culturale,"Si promuovono tutela e valorizzazione del patrimonio archeologico subacqueo sia in
Liguria (Albenga, Imperia, Lerici, Portofino), sia in Toscana (aree livornese e
grossetana). In merito al patrimonio culturale in ambito marino e costiero, oltre alla
tutela e la recupero, un obiettivo che viene perseguito in questo scenario è
l'incremento di conoscenza, accessibilità e fruibilità in chiave sostenibile.",
NTS,Nature@Work,Paesaggio e patrimonio culturale,"L'afferenza dei territori ligure e toscano al Santuario Pelagos per i mammiferi marini,
area protetta internazionale inserita nella lista ASPIM e sito proposto per l’iscrizione
alla World Heritage List UNESCO, richiede, un focus sulla gestione e valorizzazione di
tale complesso ecosistema.",
NTS,Blue Development,Energia,"È stata individuata un’area al largo di Livorno con adeguato potenziale, ridotti conflitti
con altri usi del mare e delle coste e conflitti con l'ambiente non evidenti, ancorché da
verificare in modo più preciso e puntuale. L’area corrisponde alla proposta in essere
del parco eolico galleggiante ATIS, con una potenza installata prevista di 860 MW. Lo
scenario prevede anche un Hub operativo di servizio (costruzione e manutenzione)
presso il porto di Piombino.",
NTS,Blue Development,Energia,"viene promossa  la produzione di energia
rinnovabile da moto ondoso installando generatori in corrispondenza delle dighe foranee e/o moli con potenziale produzione di energia e con funzione prevalente di
alimentazione delle attività portuali (produzione di energia dell’ordine di qualche MW).",
NTS,Blue Development,Energia,"non si prevedono rigassificatori nell’area, trattandosi di una tecnologia non coerente con la politica di transizione energetica dell’UE (Reg. (UE) 2021/1119).",
NTS,Blue Development,Trasporto marittimo,"Lo scenario considera, un
incremento del traffico da oggi al 2040 così definito, in termini di densità di
traffico, ovvero di rotte che attraversano ciascuna cella nell’unità di tempo, per
diverse tipologie di imbarcazioni: +30% per navi cargo e portarinfuse (CAR); +53% per navi portacontainer (CON); +26% per navi passeggeri e da crociera
(PAS); +38% per navi petroliere e gasiere (TGC); +33% per navi roll-on-roll-off cargo e passeggeri (RRO). Questi valori sono derivati dal recente studio condotto da EMSA per valutare l’evoluzione attesa del rumore sottomarino nei mari europei, con e senza misure di mitigazione (EMSA, 2024), e sono in linea con altre
indicazioni derivabili dalla letterature di settore: proiezioni del trasporto marittimo globale al 2050 (EMSA-EEA, 2021); aumento annuo atteso delle
movimentazioni di container del 3.1% nel Mediterraneo occidentale (Piano del Mare (2023)) e del 2.7% relativamente al periodo 2021-2026 (Report SRM 2022).",
NTS,Blue Development,Trasporto marittimo,"E’ atteso peraltro un incremento, valutato complessivamente modesto rispetto al traffico complessivamente presente nell’area, del traffico a corto raggio per attività di costruzione e manutenzione dei campi eolici previsti nello scenario (in particolare
nell’area a est dell’area pilota NTS).",
NTS,Blue Development,Trasporto marittimo,"La rumorosità media della flotta mercantile e passeggeri viene ridotta tramite la
progressiva adozione di miglioramenti tecnologici; si attuano una migliore
regolamentazione delle acque di zavorra per ridurre le specie aliene (Convenzione
IMO-BWM) e l’ulteriore potenziamento dei sistemi di prevenzione e gestione di eventi
di inquinamento accidenta",
NTS,Blue Development,Trasporto marittimo,"Viene istituita una Area To Be Avoided (ATBA) come area di attenzione specifica per la
balenottera a largo di Ventimiglia e Sanremo.",
NTS,Blue Development,Trasporto marittimo,"Nella neoistituita AMP sul Complesso dei monti sottomarini Ulisse Doria Janua e alla
convergenza del canyon di Genova viene introdotta una limitazione obbligatoria della
velocità a 10 nodi (Gallou et al., 2021).",
NTS,Blue Development,Trasporto marittimo,"La Voluntary Speed Reduction (VSR) a 13 nodi (IMO-MEPC 80/WP.10, 2023) in tutta l'area della PSSA è attuata in estate da tutte le navi commerciali in tutte le aree con densità elevata di cetacei.",
NTS,Blue Development,Protezione Ambientale,"viene istituita nuova AMP che comprende il Complesso
dei monti sottomarini Ulisse Doria Janua (Wurtz e Rovere, 2015)(corrispondente allo
stesso sito Natura 2000 dello scenario Slow Pace) nonché la convergenza del canyon
di Genova, per la protezione di specie bentoniche e come zona di importanza per grampo, zifio, capodoglio e balenottera.",
NTS,Blue Development,Protezione Ambientale,"In questa AMP, interna alla PSSA-NW MED, è prevista una riduzione obbligatoria della
velocità dei natanti commerciali a 10 nodi (Gallou et al., 2021).",
NTS,Blue Development,Protezione Ambientale,"Il seamount S. Lucia  è qui una AMP Strictly
Protected.",
NTS,Blue Development,Protezione Ambientale,"In Liguria vengono ampliate le AMP esistenti di 5 Terre, Portofino e Isola di Gallinara
con focus di conservazione su habitat di coralligeni, posidonia, e Cymodocea, e viene
ampliata la AMP Secche della Meloria, con la corrispondente istituzione di tavoli di
co-gestione con pescatori che praticano piccola pesca con metodi tradizionali.",
NTS,Blue Development,Protezione Ambientale,"Vengono ampliate le tre ZTB esistenti (MASAF, Decreto direttoriale n. 9045689 del 6
agosto 2020), con focus su EFH e VME (Ortega et al., 2023), ampliamento che
accompagna una trasformazione progressiva del settore della pesca per aumentarne
la sostenibilità nel lungo periodo.",
NTS,Blue Development,Protezione Ambientale,"All'interno della PSSA NW-MED le misure volontarie di riduzione della velocità del
traffico commerciale fra 10 e 13 nodi restano vigenti e viene in aggiunta istituita una
Area To Be Avoided (ATBA) al largo di Ventimiglia e Sanremo a protezione di capodogli
e balenottere (Thetys, 2020).",
NTS,Blue Development,Pesca,"La promozione di accordi e tavoli di cogestione tra la pesca artigianale, i siti Natura
2000 e le AMP diventa una pratica comune nella zona, ed è regolata dai piani di
gestione delle aree di conservazione. Viene attuata una adeguata sorveglianza di tali
aree, considerandola un importante prerequisito per aumentare la resa all'interno
dell'area. La flotta peschereccia viene progressivamente sostituita da nuove
imbarcazioni, che presentano una migliore efficienza energetica. Le strutture portuali
per il trattamento dei rifiuti/riciclaggio sono sviluppate in modo omogeneo all'interno
del bacino, sulla base dell'uso continuativo dei fondi strutturali. La pesca artigianale
è considerata una risorsa e gli investimenti vengono indirizzati sia sul sostegno alla
formazione dei giovani pescatori, sia sulla promozione dei prodotti/eccellenze locali.",
NTS,Blue Development,Pesca,"In seguito al completamento delle valutazioni sulle aree pilota identificate da GFCM,
il limite di pesca a strascico viene esteso da 1000 metri a 800 metri di profondità, in
quanto habitat potenziali di ecosistemi marini vulnerabili, sostenendo al contempo
attività di pesca relativamente limitate da parte di alcuni pescherecci che si dedicano
a stock specifici, ad esempio gamberi rossi di acque profonde (GFCM REC
29/2005/1).",
NTS,Blue Development,Pesca,"Vengono individuati piani AZA innovativi per il territorio, identificando le aree di
espansione per nuovi impianti di maricoltura in tutta l’area e definendo una visione per
migliorare la gestione di tali attività. I piani sono adeguatamente attuati. Alcune aree
con impianti esistenti e vocazioni già note a seguito di precedenti studi sono
valorizzate con l’installazione di nuovi impianti. Le possibilità di sviluppo
dell’acquacoltura in condizioni esposte vengono esplorate adeguatamente e
sostenute da investimenti centrali.",
NTS,Blue Development,Pesca,"In Toscana le isole dell’arcipelago espandono il metodo di piccola acquacultura
estensiva già sperimentata a Capraia. L’acquacultura nella regione di Follonica e
Piombino viene espansa con il sistema ibrido tra terra e mare.",
NTS,Blue Development,Difesa costiera,"Gli
interventi attuati sono prevalentemente di tipo soft e le Nature Based Solution hanno
la priorità. Le sabbie offshore censite e compatibili, anche da cave profonde >100 mt,
vengono utilizzate per ripascimenti e opere di difesa costiera.",
NTS,Blue Development,Turismo Costiero e Marittimo,"Specifiche misure di regolamentazione riguardano il diporto (e.g. aree di ormeggio e
gestione dei marina), in particolare nelle AMP e nelle aree Natura 2000. Sarà
importante andare a identificare per alcune aree limiti non solo di velocità ma anche in termini di capacità portante legati sia allo stazionamento che al transito, soprattutto su aree di pregio come AMP e Natura 2000. Si identificano le AMP soggette a maggior pressione da parte del diporto nautico, e vengono previste delle misure di contenimento dell’ancoraggio sui fondali con biocenosi vulnerabili, installando nuovi
siti di ormeggio in prossimità delle AMP più congestionate e soggette a sovraffollamento (Venturini et al., 2016; Dapueto et al., 2022).",
NTS,Blue Development,Turismo Costiero e Marittimo,"Vengono effettuati interventi e adottate buone pratiche per l’efficientamento
ambientale delle principali darsene da diporto.",
NTS,Blue Development,Ricerca & Innovazione,"Vengono anche individuati i siti, interni ad AMP, ove sono in corso sperimentazioni di
attività di restauro: Cinque Terre (zona A,B,C), Portofino (Zona C), e Bergeggi per
Posidonia oceanica, Cystoseira e Patella ferruginea (in area da definire in zona C);
Isola di Gallinara per il coralligeno (Punta Sciusciau).",
NTS,Blue Development,Paesaggio e patrimonio culturale,"Si promuovono tutela e valorizzazione del patrimonio archeologico subacqueo sia in
Liguria (Albenga, Imperia, Lerici, Portofino), sia in Toscana (aree livornese e
grossetana). In merito al patrimonio culturale in ambito marino e costiero, oltre alla
tutela e la recupero, un obiettivo che viene perseguito in questo scenario è
l'incremento di conoscenza, accessibilità e fruibilità in chiave sostenibile.",
NTS,Blue Development,Paesaggio e patrimonio culturale,"L'afferenza dei territori ligure e toscano al Santuario Pelagos per i mammiferi marini, area protetta internazionale inserita nella lista ASPIM e sito proposto per l’iscrizione alla World Heritage List UNESCO, richiede, un focus sulla gestione e valorizzazione di tale complesso ecosistema.",
SOI,Slow Pace,Trasporto marittimo,"Lo scenario considera un incremento del
traffico da oggi al 2040 così definito, in termini di densità di traffico, ovvero di
rotte che attraversano ciascuna cella nell’unità di tempo, per diverse tipologie di
imbarcazioni: +30% per navi cargo e portarinfuse (CAR); +53% per navi
portacontainer (CON); +26% per navi passeggeri e da crociera (PAS); +38% per navi petroliere e gasiere (TGC); +33% per navi roll-on-roll-off cargo e passeggeri
(RRO). Questi valori sono derivati dal recente studio condotto da EMSA per valutare l’evoluzione attesa del rumore sottomarino nei mari europei, con e
senza misure di mitigazione (EMSA, 2024), e sono in linea con altre indicazioni
derivabili dalla letterature di settore: proiezioni del trasporto marittimo globale
al 2050 (EMSA-EEA, 2021); aumento annuo atteso delle movimentazioni di
container del 3.1% nel Mediterraneo occidentale (Piano del Mare, 2023) e del
2.7% relativamente al periodo 2021-2026 (Report SRM, 2022).",
SOI,Slow Pace,Trasporto marittimo,"L’aumento di traffico riguarderà le
principali direttrici attuali, al netto delle redistribuzioni dei flussi imposte da altri
elementi di scenario (ad esempio, campi eolici). E’ atteso anche un incremento del traffico a corto raggio per attività di costruzione e manutenzione dei campi eolici previsti nello scenario, e di altri campi eolici potenzialmente realizzabili in
aree circostanti (in particolare nell’area a ovest dell’area pilota SOS).",
SOI,Slow Pace,Trasporto marittimo,"Sono attese riduzioni delle
emissioni di gas serra (GHG) e di composti di zolfo, in linea con gli obiettivi e le prescrizioni di EU Green Deal (riduzione del 90% delle emissioni di GHG al 2050) e IMO-MED-SECA, attraverso la progressiva adozione di misure di mitigazione (ad esempio, elettrificazione delle banchine, nuovi carburanti).",
SOI,Slow Pace,Protezione Ambientale,"Vengono istituite nuove aree Natura2000 sui seamounts presenti nell’area (Wurtz e
Rovere, 2015) su cui è in corso la mappatura di dettaglio nel progetto PNRR-MER.",
SOI,Slow Pace,Protezione Ambientale,"In seguito al completamento delle valutazioni sulle aree pilota identificate da GFCM, il
limite di pesca a strascico viene esteso da 1000 metri a 800 metri di profondità, in
quanto queste aree possono ospitare ecosistemi marini vulnerabili (VME), sostenendo
al contempo attività di pesca relativamente limitate da parte di alcuni pescherecci che
si dedicano a stock specifici di acque profonde (GFCM REC 29/2005/1).",
SOI,Slow Pace,Protezione Ambientale,"Gli interventi di restauro ambientale sono molto ridotti e in grande prevalenza di tipo
passivo (REG.UE 2024/1991 del 17/06/24).",
SOI,Slow Pace,Protezione Ambientale,L’obiettivo del 30% di aree protette viene raggiunto nello scenario solo considerando una serie di aree OECM potenziali.,
SOI,Slow Pace,Protezione Ambientale,"Rimane costante rispetto alla situazione attuale e lontano
dall’obiettivo del 10% il valore delle aree a protezione rigorosa (cfr. par.2.7).",
SOI,Slow Pace,Pesca,"In seguito al completamento delle valutazioni sulle
aree pilota identificate da GFCM, il divieto di pesca a strascico viene portato da 1000
metri a 800 metri di profondità, in quanto queste aree possono ospitare ecosistemi marini vulnerabili (VME), sostenendo al contempo attività di pesca relativamente
limitate da parte di alcuni pescherecci che si dedicano a stock specifici di acque
profonde (GFCM REC 29/2005/1).",
SOI,Slow Pace,Pesca,"Vengono rafforzati il controllo e la lotta alla pesca illegale (IUU), diffusamente presente nell’area (Jarboui et al., 2022).",
SOI,Slow Pace,Pesca,"Viene sostenuta la pesca artigianale, che pure non aumenta il suo sforzo complessivo
e gli areali interessati, anche con un più stretto collegamento alle attività turistiche.
Nelle FRA esistenti vige oltre allo strascico anche il divieto per reti da posta e palangari
(GFCM SAC 2023).",
SOI,Slow Pace,Pesca,"Vengono pienamente riconosciuti i “fishing grounds” esistenti per la pesca a strascico (Russo et al., in stampa). Queste aree sono considerate nello scenario come aree con
priorità per le attività di pesca, a cui gli altri usi sono subordinati e si devono adeguare,
al netto di altri usi specifici e diversi previsti allo scenario medesimo (ad esempio, campi eolici).",
SOI,Slow Pace,Pesca,"Come da Action Plan (COM(2023)102 final), si vieta la pesca a strascico con
attrezzi attivi nelle aree SIC/ZSC designate ai sensi della direttiva Habitat per la
protezione di habitat e le specie marine bentoniche",
SOI,Slow Pace,Pesca,"Nell'area valgono le norme tecniche sulla pesca dei Piani di Gestione Locale
delle Unità Gestionali “Arcipelago delle Isole Pelagie”, “Capo Passero –
Siracusa” e “Mazara del Vallo”. In particolare, nell’Unità Gestionale “Arcipelago
delle Isole Pelagie” è proibita la pesca alle imbarcazioni di lft>24 m e con motore
superiore a 500 kw.",
